event_label,tournament,player,best_odds,best_decimal,best_implied_raw,best_book,dk_odds,dk_implied_raw,avg_novig_prob
masters,Masters Tournament Winner,Charl Schwartzel,40000,401.0,0.002494,espnbet,35000.0,0.002849,0.0018693781703655171
masters,Masters Tournament Winner,Ben Campbell,50000,501.0,0.001996,espnbet,40000.0,0.002494,0.0017083148429982518
masters,Masters Tournament Winner,Danny Willett,50000,501.0,0.001996,draftkings,50000.0,0.001996,0.0016534015820067003
masters,Masters Tournament Winner,Zach Johnson,40000,401.0,0.002494,espnbet,40000.0,0.002494,0.0015772662352013967
masters,Masters Tournament Winner,Adam Schenk,40000,401.0,0.002494,bovada,,,0.001475331964480821
masters,Masters Tournament Winner,Matthieu Pavon,40000,401.0,0.002494,bovada,,,0.001475331964480821
masters,Masters Tournament Winner,Patton Kizzire,40000,401.0,0.002494,bovada,,,0.001475331964480821
masters,Masters Tournament Winner,Thriston Lawrence,50000,501.0,0.001996,bovada,,,0.0011807388135941133
masters,Masters Tournament Winner,Ethan Fang,100000,1001.0,0.000999,betmgm,,,0.0008120500242664717
masters,Masters Tournament Winner,Rafael Campos,75000,751.0,0.001332,bovada,,,0.0007879479457451699
masters,Masters Tournament Winner,Michael La Sasso,100000,1001.0,0.000999,bovada,,,0.0007097721745988983
masters,Masters Tournament Winner,Angel Cabrera,150000,1501.0,0.000666,espnbet,50000.0,0.001996,0.000689042668245038
masters,Masters Tournament Winner,Brandon Wu,100000,1001.0,0.000999,betmgm,,,0.0006061992508627834
masters,Masters Tournament Winner,Mason Howell,100000,1001.0,0.000999,betmgm,,,0.0006061992508627834
masters,Masters Tournament Winner,Fred Couples,250000,2501.0,0.0004,espnbet,100000.0,0.000999,0.0004431105498160724
masters,Masters Tournament Winner,Mike Weir,250000,2501.0,0.0004,espnbet,100000.0,0.000999,0.0003902437084420486
masters,Masters Tournament Winner,Vijay Singh,250000,2501.0,0.0004,bovada,100000.0,0.000999,0.0003823580211200096
masters,Masters Tournament Winner,Jose Maria Olazábal,250000,2501.0,0.0004,espnbet,200000.0,0.0005,0.00033036138500789936
open,The Open Winner,Scottie Scheffler,470,5.7,0.175439,fanduel,350.0,0.222222,0.13880497927229243
open,The Open Winner,Rory McIlroy,900,10.0,0.1,lowvig,750.0,0.117647,0.07413474278161455
open,The Open Winner,Jon Rahm,1600,17.0,0.058824,lowvig,1100.0,0.083333,0.04711518493556988
open,The Open Winner,Tommy Fleetwood,2000,21.0,0.047619,betrivers,1400.0,0.066667,0.037202367322025844
open,The Open Winner,Xander Schauffele,2000,21.0,0.047619,lowvig,1600.0,0.058824,0.03579599323650439
open,The Open Winner,Bryson DeChambeau,2000,21.0,0.047619,lowvig,1800.0,0.052632,0.03506322407380377
open,The Open Winner,Ludvig Aberg,2500,26.0,0.038462,espnbet,2500.0,0.038462,0.02839089821930591
