name,event_label,win_probability,tournament,dk_odds,best_odds,best_book,avg_novig_prob,model_prob,edge_pp,half_kelly_pct
Jon Rahm,masters,0.000504560339349989,Masters Tournament Winner,1000.0,1600.0,betrivers,0.0415932038382983,0.000504560339349989,-4.108864349894832,0.0
Jon Rahm,pga_champ,0.0004726513634052046,PGA Championship Winner,1200.0,1600.0,lowvig,0.043401008062230385,0.0004726513634052046,-4.292835669882518,0.0
Jon Rahm,us_open,0.0006475055581590492,US Open Winner,1200.0,1600.0,betonlineag,0.04699610946084344,0.0006475055581590492,-4.6348603902684395,0.0
Jon Rahm,open,0.000461996007195929,The Open Winner,1100.0,1600.0,lowvig,0.04711518493556988,0.000461996007195929,-4.665318892837395,0.0
Bryson DeChambeau,us_open,0.006600491444347239,US Open Winner,1000.0,1400.0,betonlineag,0.059834802714616594,0.006600491444347239,-5.323431127026936,0.0
Bryson DeChambeau,pga_champ,0.004811472328414729,PGA Championship Winner,1000.0,1200.0,lowvig,0.06046135781658945,0.004811472328414729,-5.564988548817472,0.0
Scottie Scheffler,pga_champ,0.042554135252892276,PGA Championship Winner,350.0,400.0,bovada,0.141086411315627,0.042554135252892276,-9.853227606273471,0.0
Scottie Scheffler,open,0.0394060954669463,The Open Winner,350.0,470.0,fanduel,0.13880497927229243,0.0394060954669463,-9.939888380534613,0.0
Scottie Scheffler,us_open,0.046301015864941224,US Open Winner,320.0,400.0,betmgm,0.1563642911068632,0.046301015864941224,-11.006327524192198,0.0
Scottie Scheffler,masters,0.04116047979851641,Masters Tournament Winner,300.0,300.0,bovada,0.16070912511298074,0.04116047979851641,-11.954864531446432,0.0
Paul Casey,masters,0.021418858109124358,,,,,,0.021418858109124358,,
Alex Noren,masters,0.015454779846369072,,,,,,0.015454779846369072,,
Niklas Norgaard,masters,0.012432248794647643,,,,,,0.012432248794647643,,
Pierceson Coody,masters,0.01166228906957161,,,,,,0.01166228906957161,,
Victor Perez,masters,0.01063612916121013,,,,,,0.01063612916121013,,
Alex Smalley,masters,0.010166758138904239,,,,,,0.010166758138904239,,
Max McGreevy,masters,0.008208681964172985,,,,,,0.008208681964172985,,
Scott Stallings,masters,0.007693306189621587,,,,,,0.007693306189621587,,
David Lipsky,masters,0.007606257395958561,,,,,,0.007606257395958561,,
Michael Thorbjornsen,masters,0.007428048681532051,,,,,,0.007428048681532051,,
Jesper Svensson,masters,0.007163892402785012,,,,,,0.007163892402785012,,
Matt Kuchar,masters,0.006841320066072996,,,,,,0.006841320066072996,,
Cameron Tringale,masters,0.00653776473064058,,,,,,0.00653776473064058,,
Kevin Roy,masters,0.006401528503044832,,,,,,0.006401528503044832,,
Matt Wallace,masters,0.006286532640160788,,,,,,0.006286532640160788,,
Steven Fisk,masters,0.0058614717267366214,,,,,,0.0058614717267366214,,
Chandler Phillips,masters,0.005379787810893443,,,,,,0.005379787810893443,,
Beau Hossler,masters,0.00524767402046592,,,,,,0.00524767402046592,,
Patrick Rodgers,masters,0.00489798382433336,,,,,,0.00489798382433336,,
Ryo Hisatsune,masters,0.0037285739266437563,,,,,,0.0037285739266437563,,
David Lingmerth,masters,0.003575448199750229,,,,,,0.003575448199750229,,
Gaganjeet Bhullar,masters,0.0035669420360672542,,,,,,0.0035669420360672542,,
Takumi Kanaya,masters,0.0035447704320065248,,,,,,0.0035447704320065248,,
Matti Schmid,masters,0.003164799279109991,,,,,,0.003164799279109991,,
Chris Gotterup,masters,0.0031255210683116463,,,,,,0.0031255210683116463,,
William Mouw,masters,0.0030889952542685318,,,,,,0.0030889952542685318,,
Harold Varner III,masters,0.002794193962363633,,,,,,0.002794193962363633,,
Jordan Smith,masters,0.0026217365474493445,,,,,,0.0026217365474493445,,
Ian Poulter,masters,0.002502101000351105,,,,,,0.002502101000351105,,
Tom Kim,masters,0.0022514567551381254,,,,,,0.0022514567551381254,,
Patrick Fishburn,masters,0.0022071634259306122,,,,,,0.0022071634259306122,,
Emiliano Grillo,masters,0.0021699672155341496,,,,,,0.0021699672155341496,,
Keith Mitchell,masters,0.002084109033292598,,,,,,0.002084109033292598,,
Mackenzie Hughes,masters,0.0018861795127672562,,,,,,0.0018861795127672562,,
Bud Cauley,masters,0.0018223789918260928,,,,,,0.0018223789918260928,,
Romain Langasque,masters,0.0017073142306382437,,,,,,0.0017073142306382437,,
Justin Harding,masters,0.001700851203292246,,,,,,0.001700851203292246,,
Matt Fitzpatrick,masters,0.0015472420366556554,,,,,,0.0015472420366556554,,
Gary Woodland,masters,0.001543085614945145,,,,,,0.001543085614945145,,
Kensei Hirata,masters,0.0014318059199827145,,,,,,0.0014318059199827145,,
Jake Knapp,masters,0.0013409498370706467,,,,,,0.0013409498370706467,,
Eric Cole,masters,0.0013101770621164112,,,,,,0.0013101770621164112,,
Lucas Bjerregaard,masters,0.0012337785446851408,,,,,,0.0012337785446851408,,
Charley Hoffman,masters,0.0012046606080426284,,,,,,0.0012046606080426284,,
Matt Jones,masters,0.0011852258773753922,,,,,,0.0011852258773753922,,
Mark Hubbard,masters,0.0010450416920967508,,,,,,0.0010450416920967508,,
Karl Vilips,masters,0.0010254081533122154,,,,,,0.0010254081533122154,,
Grayson Murray,masters,0.0010108204317960362,,,,,,0.0010108204317960362,,
Mike Lorenzo-Vera,masters,0.0010084150171417042,,,,,,0.0010084150171417042,,
Chris Paisley,masters,0.0009664279931207411,,,,,,0.0009664279931207411,,
Jorge Campillo,masters,0.0008970528152539069,,,,,,0.0008970528152539069,,
Adrian Meronk,masters,0.0008847425950427901,,,,,,0.0008847425950427901,,
Thomas Pieters,masters,0.000853281092652906,,,,,,0.000853281092652906,,
Rickie Fowler,masters,0.0008352562865050757,,,,,,0.0008352562865050757,,
Garrick Higgo,masters,0.0007980713679127968,,,,,,0.0007980713679127968,,
John Parry,masters,0.0007491870782008042,,,,,,0.0007491870782008042,,
Bio Kim,masters,0.0007377866005529823,,,,,,0.0007377866005529823,,
Paul Dunne,masters,0.0007007457796854085,,,,,,0.0007007457796854085,,
Erik van Rooyen,masters,0.0006227510943981747,,,,,,0.0006227510943981747,,
Tomoharu Otsuki,masters,0.0005914526948552768,,,,,,0.0005914526948552768,,
Anirban Lahiri,masters,0.0005322976312174192,,,,,,0.0005322976312174192,,
Eugenio Chacarra,masters,0.0005190405998196422,,,,,,0.0005190405998196422,,
